uid,name,neighbours
131,New Ashok Nagar,108|135
132,New Delhi,166|18|195
133,Noida City Centre,138|49
134,Noida Electronic City,142
135,Noida Sector 15,131|136
136,Noida Sector 16,135|137
137,Noida Sector 18,136|14
138,Noida Sector 34,133|139
139,Noida Sector 52,138|140
140,Noida Sector 59,139|141
141,Noida Sector 61,140|142
142,Noida Sector 62,134|141
143,Okhla Bird Sanctuary,14|82
144,Okhla NSIC,201|50|56|83
145,Okhla Vihar,69|75
146,Old Faridabad,10|127
147,Palam,174|23
148,Panchsheel Park,179|20|57|95
149,Pandit Shree Ram Sharma,11|206
150,Paschim Vihar East,151|99
151,Paschim Vihar West,150|154
152,Patel Chowk,16|166
153,Patel Nagar,165|184
154,Peeragarhi,151|213
155,Pitampura,171|93
156,Pratap Nagar,157|191
157,Pul Bangash,156|209
158,Punjabi Bagh,194|7
159,Punjabi Bagh West,188|42
160,Qutab Minar,175|19
161,R. K. Puram,119|60
162,Raj Bagh,102|186
163,Raja Nahar Singh,177
164,Rajdhani Park,117|124
165,Rajendra Place,153|87
166,Rajiv Chowk,12|132|152|168
167,Rajouri Garden,107|169|204|42
168,Ramakrishna Ashram Marg,166|77
169,Ramesh Nagar,116|167
170,Rithala,173
171,Rohini East,155|173
172,"Rohini Sector 18,19",176|55
173,Rohini West,170|171
174,Sadar Bazaar Cantonment,147|205
175,Saket,103|160
176,Samaypur Badli,172
177,Sant Surdas(Sihi),127|163
178,Sarai,120|9
179,Sarai Kale Khan - Nizamuddin,110|148
180,Sarita Vihar,113|74
181,Sarojini Nagar,13|199
182,Sector 28,10|111
183,Seelampur,192|221
184,Shadipur,153|92
185,Shahdara,105|221
186,Shaheed Nagar,162|30
187,Shaheed Sthal,58
188,Shakurpur,130|159
189,Shalimar Bagh,130|8
190,Shankar Vihar,205|217
191,Shastri Nagar,156|63
192,Shastri Park,183|88
193,Shiv Vihar,79
194,Shivaji Park,158|99
195,Shivaji Stadium,132|28
196,Shyam Park,102|114
197,Sikanderpur,53|98
198,Sir M. Vishweshwaraiah Moti Bagh,13|31
199,South Extension,181|219
200,Subhash Nagar,204|208
201,Sukhdev Vihar,144|69
202,Sultanpur,19|47
203,Supreme Court,104|65
204,Tagore Garden,167|200
205,Terminal 1-IGI Airport,174|190
206,Tikri Border,149|207
207,Tikri Kalan,206|46
208,Tilak Nagar,200|70
209,Tis Hazari,157|88
210,Trilokpuri Sanjay Lake,109|44
211,Tughlakabad Station,113|9
212,Udyog Bhawan,16|97
213,Udyog Nagar,100|154
214,Uttam Nagar East,215|71
215,Uttam Nagar West,126|214
216,Vaishali,89
217,Vasant Vihar,119|190
218,Vidhan Sabha,21|220
219,Vinobapuri,199|95
220,Vishwa Vidyalaya,218|45
221,Welcome,183|185|43|66
222,Yamuna Bank,3|65|224
223,Yashobhoomi Dwarka Sector - 25,39
224,Laxmi Nagar,222|225
225,Nirman Vihar,224|226
226,Preet Vihar,225|85
